,Judul,Harga,Lokasi,Detail
0,Daihatsu Terios,Rp 155.000.000,CilandakHari ini,2018 - 105.000-110.000 km
1,Honda Brio,Rp 99.000.000,Kebayoran LamaHari ini,2014 - 130.000-135.000 km
2,Daihatsu Luxio,Rp 171.000.000,Kebayoran LamaHari ini,2019 - 20.000-25.000 km
3,Toyota Agya,Rp 100.000.000,Kebayoran LamaHari ini,2017 - 40.000-45.000 km
4,Honda CR-V,Rp 375.000.000,Kebayoran Baru4 Mar,2018 - 85.000-90.000 km
5,Toyota Raize,Rp 245.000.000,Cilandak2 hari yang lalu,2023 - 0-5.000 km
6,Toyota Voxy,Rp 385.000.000,Cilandak4 Mar,2019 - 135.000-140.000 km
7,Hyundai Creta,Rp 383.500.000,Cilandak28 Feb,2024 - 0-5.000 km
8,Mercedes-Benz GLA200,Rp 430.000.000,CilandakHari ini,2016 - 5.000-10.000 km
9,Mobil CBU Mobil CBU Lainnya,Rp 3.100.000.000,Kebayoran BaruHari ini,2024 - 0-5.000 km
10,Honda Civic,Rp 188.000.000,Kebayoran BaruHari ini,2014 - 105.000-110.000 km
11,Mercedes-Benz Lain-lain,Rp 85.000.000,CilandakHari ini,1991 - 130.000-135.000 km
12,Ford Mustang,Rp 1.690.000.000,Kebayoran LamaHari ini,2021 - 0-5.000 km
13,Mercedes-Benz E260,Rp 115.000.000,Kebayoran BaruHari ini,2005 - 70.000-75.000 km
14,Suzuki Ignis,Rp 118.000.000,Jakarta SelatanHari ini,2017 - 80.000-85.000 km
15,Toyota Alphard,Rp 260.000.000,Pasar MingguHari ini,2011 - 115.000-120.000 km
16,Toyota Agya,Rp 131.500.000,Mampang PrapatanHari ini,2020 - 45.000-50.000 km
17,Mitsubishi Xpander,Rp 190.000.000,CilandakHari ini,2019 - 80.000-85.000 km
18,Honda Mobilio,Rp 190.000.000,PancoranHari ini,2020 - 10.000-15.000 km
19,Honda Brio,Rp 99.000.000,Kebayoran BaruHari ini,2014 - 130.000-135.000 km
20,Honda Brio Satya,Rp 125.000.000,Kebayoran LamaHari ini,2018 - 30.000-35.000 km
21,Daihatsu Sirion,Rp 125.000.000,PesanggrahanHari ini,2019 - 65.000-70.000 km
22,Daihatsu Xenia,Rp 132.000.000,PesanggrahanHari ini,2018 - 140.000-145.000 km
23,Daihatsu Terios,Rp 145.000.000,PesanggrahanHari ini,2017 - 55.000-60.000 km
24,Toyota Harrier,Rp 230.000.000,Cilandak2 hari yang lalu,2009 - 120.000-125.000 km
25,Mercedes-Benz E300,Rp 345.000.000,Kebayoran Baru2 hari yang lalu,2012 - 55.000-60.000 km
26,Toyota Voxy,Rp 348.000.000,Pasar Minggu16 Mar,2018 - 55.000-60.000 km
27,Toyota Alphard,Rp 232.000.000,Kebayoran Baru25 Feb,2010 - 115.000-120.000 km
28,Mercedes-Benz GLA200,Rp 429.000.000,CilandakHari ini,2016 - 5.000-10.000 km
29,Lexus RX350,Rp 265.000.000,Kebayoran BaruHari ini,2010 - 90.000-95.000 km
30,Daihatsu Xenia,Rp 129.000.000,Pasar MingguHari ini,2017 - 70.000-75.000 km
31,Audi Q7,Rp 900.000.000,CilandakHari ini,2016 - 40.000-45.000 km
32,Honda BR-V,Rp 248.000.000,Kebayoran BaruHari ini,2022 - 20.000-25.000 km
33,Toyota Fortuner,Rp 390.000.000,Kebayoran BaruHari ini,2018 - 80.000-85.000 km
34,Toyota Voxy,Rp 349.000.000,Kebayoran BaruHari ini,2018 - 45.000-50.000 km
35,Honda BR-V,Rp 240.000.000,Kebayoran BaruHari ini,2022 - 25.000-30.000 km
36,Mitsubishi Pajero Sport,Rp 205.000.000,PesanggrahanHari ini,2011 - 90.000-95.000 km
37,Toyota Alphard,Rp 545.000.000,Kebayoran BaruHari ini,2017 - 55.000-60.000 km
38,Nissan March,Rp 128.000.000,Kebayoran BaruHari ini,2018 - 55.000-60.000 km
39,Honda Brio,Rp 99.000.000,CilandakHari ini,2014 - 130.000-135.000 km
